Number_of_Groups,Task_group
11,"{0: [84, 61, 90, 91, 22, 9], 1: [25, 12, 67, 70], 2: [86, 27], 3: [81, 5, 87, 46, 89, 10], 4: [20, 78, 18], 5: [55, 6], 6: [52, 76], 7: [85, 2, 57, 24], 8: [83, 80, 59], 9: [30, 92], 10: [28]}"
11,"{0: [81, 2, 61, 91, 57], 1: [5, 67, 89, 70], 2: [85, 86], 3: [20, 78, 87, 22, 59, 92], 4: [55, 27], 5: [30], 6: [25, 84, 46, 10], 7: [76, 6, 28, 18], 8: [12, 90], 9: [83, 52, 24], 10: [80, 9]}"
9,"{0: [84, 12, 22, 27], 1: [78, 90, 9, 18], 2: [52, 25, 67, 28, 59, 92], 3: [83, 55, 91, 70], 4: [86, 89, 57], 5: [76, 5, 46, 10], 6: [20, 30, 2, 87, 6], 7: [81, 85, 61, 24], 8: [80]}"
11,"{0: [86], 1: [55, 10], 2: [85, 22, 6, 70], 3: [78, 9, 59], 4: [20, 30, 2], 5: [25, 46, 67, 28], 6: [52, 76, 12, 61, 92], 7: [80, 87, 90, 89], 8: [84, 5, 91, 27], 9: [83, 24], 10: [81, 57, 18]}"
17,"{0: [81, 67, 89], 1: [76, 25], 2: [27, 59], 3: [84, 2, 87, 46, 22], 4: [30], 5: [80, 57, 28], 6: [90, 24, 10], 7: [78], 8: [6, 9], 9: [5], 10: [85, 91], 11: [61, 70], 12: [20, 55], 13: [86, 12], 14: [92], 15: [52], 16: [83, 18]}"
10,"{0: [83, 80, 85, 86, 55, 59, 18, 10], 1: [84, 22, 89, 57, 24], 2: [20, 78], 3: [81, 5, 61, 90, 6], 4: [52, 12, 91, 9, 27], 5: [46, 67, 28], 6: [87, 70], 7: [25, 30, 92], 8: [2], 9: [76]}"
14,"{0: [24, 59, 10], 1: [84, 12, 61, 57], 2: [81, 85, 87, 18], 3: [86, 5], 4: [52, 80], 5: [83, 46, 9], 6: [91], 7: [78, 55, 90, 6, 70], 8: [2, 22, 92], 9: [20], 10: [76, 28], 11: [25, 67], 12: [89], 13: [30, 27]}"
17,"{0: [2, 24], 1: [81, 87, 67], 2: [30, 12, 89, 70], 3: [83], 4: [76, 9, 92], 5: [10], 6: [61, 57], 7: [25], 8: [6], 9: [20, 90, 27], 10: [80, 59], 11: [52, 46], 12: [85, 28], 13: [78], 14: [84, 55, 91], 15: [18], 16: [86, 5, 22]}"
11,"{0: [78, 87, 91, 89, 18], 1: [2, 67, 22, 28], 2: [84, 12, 9], 3: [83, 30], 4: [20, 90, 57, 27, 59], 5: [81, 24, 10], 6: [76, 85, 86, 70], 7: [52, 92], 8: [5], 9: [80, 25, 55, 46, 61], 10: [6]}"
13,"{0: [80, 25, 5, 24], 1: [61, 28, 27], 2: [76, 86, 57, 10], 3: [9, 92], 4: [52, 2, 55, 87, 22, 89, 18], 5: [78], 6: [81, 20, 30], 7: [6], 8: [85, 90], 9: [84, 70], 10: [83, 91], 11: [46, 59], 12: [12, 67]}"
10,"{0: [20, 90, 57, 6, 28, 59], 1: [2, 22, 9], 2: [78], 3: [81, 89, 24, 27, 92, 10], 4: [30, 46, 18], 5: [76, 87, 61], 6: [52, 25, 5, 91], 7: [83, 70], 8: [84, 55, 67], 9: [80, 85, 86, 12]}"
13,"{0: [83, 55, 91], 1: [52, 67, 22, 89, 57, 9], 2: [85, 12, 24, 59], 3: [78], 4: [27], 5: [20, 2, 70], 6: [81, 18], 7: [5, 28, 92], 8: [25, 30, 6, 10], 9: [80, 87, 46], 10: [76, 84, 61], 11: [86], 12: [90]}"
13,"{0: [6, 92], 1: [76, 86, 67], 2: [81, 80, 12, 90, 91, 89], 3: [84, 57, 27, 10], 4: [87, 22], 5: [83, 24], 6: [20, 46, 28], 7: [78], 8: [5, 2], 9: [52, 25, 85, 18], 10: [30, 70], 11: [61, 59], 12: [55, 9]}"
14,"{0: [80, 84, 6, 27, 10], 1: [76, 61, 90], 2: [20, 70], 3: [24, 18], 4: [83, 25], 5: [12, 67, 57], 6: [85, 92], 7: [52, 81, 2, 46, 91], 8: [89], 9: [30], 10: [55, 9, 59], 11: [86, 87], 12: [5, 22, 28], 13: [78]}"
12,"{0: [76, 5, 46, 28, 18], 1: [85, 2, 92], 2: [52, 84, 12], 3: [59], 4: [80, 6], 5: [30, 55, 22, 57, 24, 70], 6: [86, 78, 87], 7: [83, 81, 25, 20, 9], 8: [89, 10], 9: [67, 90], 10: [61], 11: [91, 27]}"
12,"{0: [81, 25, 86, 22, 6], 1: [30, 2, 46, 91, 28, 9, 59, 10], 2: [87, 67, 90, 18], 3: [55, 70], 4: [83, 52, 78], 5: [76, 5], 6: [80, 12, 89], 7: [61, 92], 8: [85], 9: [84, 57, 24], 10: [20], 11: [27]}"
12,"{0: [83, 18, 10], 1: [78, 30, 90], 2: [91, 22, 27], 3: [87, 46, 28, 92], 4: [81, 84, 70], 5: [20, 89, 6], 6: [25, 86, 2, 61, 57], 7: [59], 8: [85, 5, 67], 9: [52, 80, 55, 12, 24], 10: [76], 11: [9]}"
13,"{0: [12, 90, 91, 24, 10], 1: [86, 92, 18], 2: [20, 87, 28, 27], 3: [81], 4: [46, 6, 9, 70], 5: [83, 76, 2], 6: [84, 67, 89], 7: [52, 80, 85], 8: [5], 9: [22, 57, 59], 10: [25, 30, 61], 11: [78], 12: [55]}"
12,"{0: [83, 5, 22, 59], 1: [85, 86, 2, 12, 27], 2: [81, 24, 92], 3: [52, 55, 67, 9], 4: [80, 78, 57], 5: [87, 10], 6: [91, 89, 18], 7: [76, 20, 46], 8: [6], 9: [84, 61, 90, 28, 70], 10: [30], 11: [25]}"
14,"{0: [80, 46, 22, 70, 92], 1: [78, 30, 90], 2: [85, 28], 3: [67, 57], 4: [81, 86, 18], 5: [83, 5, 9], 6: [2, 12, 24], 7: [76], 8: [25, 91], 9: [55, 10], 10: [20, 6], 11: [52, 61, 89, 27, 59], 12: [84], 13: [87]}"
13,"{0: [61, 9, 92], 1: [76, 5, 67, 89], 2: [25, 85, 22, 27], 3: [83, 28, 70], 4: [81, 20, 30, 2, 12, 91, 24], 5: [80, 46], 6: [90], 7: [52, 78], 8: [59], 9: [84, 57, 10], 10: [86, 6], 11: [55], 12: [87, 18]}"
13,"{0: [67, 22, 28, 27], 1: [52, 20, 86, 46, 61, 90, 18], 2: [76, 84, 78, 89, 6], 3: [25, 85, 91, 70], 4: [81], 5: [24, 59, 92], 6: [9], 7: [12, 57], 8: [80], 9: [83, 5, 30], 10: [2], 11: [87], 12: [55, 10]}"
13,"{0: [86, 2, 61, 70], 1: [25, 57], 2: [80, 20, 87, 12, 59, 10], 3: [84, 6], 4: [46, 67], 5: [76], 6: [83, 55, 27, 92], 7: [85, 22, 89, 18], 8: [5, 90, 28, 24], 9: [78, 9], 10: [81], 11: [52, 91], 12: [30]}"
14,"{0: [27, 59, 18], 1: [81, 2, 9, 24], 2: [46, 92], 3: [84, 67, 91, 57], 4: [25, 90], 5: [85, 55, 6], 6: [5, 30, 87], 7: [80, 76, 22, 28], 8: [52, 86, 61], 9: [70], 10: [89], 11: [83, 78, 12], 12: [10], 13: [20]}"
13,"{0: [90], 1: [86, 84, 9, 70, 92, 10], 2: [81, 20, 5, 24], 3: [83, 12, 22, 59], 4: [52, 25, 30, 2, 18], 5: [78, 46], 6: [55, 57, 28], 7: [76, 85], 8: [91], 9: [87, 61], 10: [80, 27], 11: [89, 6], 12: [67]}"
9,"{0: [80, 87, 91], 1: [81, 86, 78, 10], 2: [52, 55, 12, 61, 9, 59], 3: [30, 67, 6, 92, 18], 4: [83, 76, 22, 70], 5: [85, 27], 6: [20, 90, 89, 24], 7: [25, 5, 2, 57], 8: [84, 46, 28]}"
10,"{0: [52, 81, 80, 30, 57, 28, 70], 1: [76, 85, 84, 2, 10], 2: [61], 3: [25, 46, 91, 22, 6, 9, 59], 4: [12], 5: [83, 89, 24, 18], 6: [20, 86, 78, 67], 7: [55, 87, 90], 8: [5, 92], 9: [27]}"
10,"{0: [84, 46, 10], 1: [25, 20, 78, 61, 91, 24, 70, 18], 2: [55], 3: [86], 4: [2, 12, 59], 5: [83, 52, 6, 9], 6: [76, 67, 22, 27, 92], 7: [81, 80, 5, 87, 90, 28], 8: [85, 30, 89], 9: [57]}"
12,"{0: [83, 52, 5, 90], 1: [84, 9], 2: [55, 28, 24], 3: [67, 59], 4: [30, 89], 5: [81, 80, 6, 18], 6: [86, 22], 7: [76, 85, 91, 10], 8: [25, 2, 57], 9: [20, 78, 12, 92], 10: [87, 46, 61], 11: [27, 70]}"
13,"{0: [52, 85, 78, 91], 1: [80, 76, 67, 22], 2: [83, 12], 3: [81, 25, 89, 59, 92], 4: [20, 84, 30, 61], 5: [46, 27], 6: [87, 70, 10], 7: [90, 28, 18], 8: [55, 57], 9: [2], 10: [6, 9], 11: [86, 5], 12: [24]}"
12,"{0: [52, 81, 22], 1: [76, 25, 78, 46, 28], 2: [55, 87, 91, 10], 3: [83, 85, 90, 24], 4: [20, 12, 6], 5: [86, 89, 92], 6: [80, 57], 7: [2, 18], 8: [59], 9: [84, 30, 27], 10: [61, 70], 11: [5, 67, 9]}"
11,"{0: [2, 24, 59], 1: [52, 80, 76, 91, 22, 6, 70], 2: [89, 9], 3: [83, 5], 4: [30], 5: [78, 46, 61, 57, 27], 6: [87, 28, 92, 18], 7: [86, 12, 10], 8: [81, 25, 20, 84, 90], 9: [85, 67], 10: [55]}"
11,"{0: [83, 80, 46, 9, 24], 1: [52, 5, 30, 89, 70], 2: [84, 78, 87, 91, 57, 28], 3: [86, 22], 4: [81, 90], 5: [85, 55, 12], 6: [76, 25, 20, 67], 7: [2, 61, 59], 8: [18], 9: [6, 92, 10], 10: [27]}"
13,"{0: [52, 76, 87, 89, 70, 10], 1: [81, 80, 91, 57], 2: [55, 90], 3: [85, 61], 4: [25, 92], 5: [20, 84, 9, 27, 18], 6: [2], 7: [86, 46], 8: [5], 9: [12, 28, 59], 10: [30, 67], 11: [83, 78, 22, 24], 12: [6]}"
12,"{0: [85, 90, 22], 1: [20, 30, 2, 46, 12, 89, 24, 59, 70], 2: [5, 67, 57], 3: [52, 80, 86, 78], 4: [10], 5: [25, 87, 92], 6: [55, 28], 7: [83, 27], 8: [6], 9: [81, 76, 91, 18], 10: [84, 9], 11: [61]}"
14,"{0: [2, 87, 61, 22], 1: [86, 10], 2: [81, 78, 9, 27, 92], 3: [12, 89], 4: [59], 5: [5], 6: [52, 30, 46, 67, 70], 7: [80, 25, 28], 8: [76, 85, 91, 57], 9: [84, 18], 10: [20, 24], 11: [83, 55], 12: [90], 13: [6]}"
12,"{0: [81, 5, 2, 46, 22, 9, 92], 1: [20, 27, 70], 2: [18], 3: [87, 61], 4: [83, 55], 5: [25, 85, 86, 90, 59], 6: [80, 91, 89, 6], 7: [84, 30, 10], 8: [12, 67], 9: [76, 28], 10: [78, 57], 11: [52, 24]}"
13,"{0: [20, 30, 2, 87, 67, 57], 1: [52, 28, 70], 2: [83, 81, 78, 46, 6], 3: [80, 86], 4: [89, 92], 5: [18], 6: [85, 90, 91, 9], 7: [5, 22, 10], 8: [84, 59], 9: [12, 24], 10: [76, 25, 55], 11: [61], 12: [27]}"
15,"{0: [85, 46, 90], 1: [80, 78], 2: [2, 89], 3: [84, 59, 18], 4: [81, 5, 91, 9], 5: [6], 6: [25, 86], 7: [76, 28], 8: [83, 55, 24], 9: [20, 87, 61], 10: [52, 22, 27, 70, 10], 11: [30], 12: [57], 13: [67, 92], 14: [12]}"
11,"{0: [81, 80, 30, 6, 28], 1: [20, 5, 46], 2: [25, 84, 55, 67, 91], 3: [52, 24, 59, 18], 4: [76, 86, 78, 57, 9], 5: [61, 90], 6: [87], 7: [83, 27, 92], 8: [22, 89, 10], 9: [12], 10: [85, 2, 70]}"
12,"{0: [76, 25, 89], 1: [90, 59], 2: [83, 84, 6, 24], 3: [30, 2, 46, 91, 70], 4: [55, 61, 57, 92], 5: [81, 80, 5, 12, 28], 6: [78, 9, 27, 10], 7: [52, 85, 18], 8: [87], 9: [20], 10: [86, 22], 11: [67]}"
12,"{0: [46, 9], 1: [83, 89, 10], 2: [24, 27, 92], 3: [80, 5, 12, 18], 4: [67, 6, 59], 5: [81, 20, 86, 30, 87, 61, 70], 6: [90], 7: [52, 85, 84, 2, 91], 8: [25, 22], 9: [57], 10: [78, 55, 28], 11: [76]}"
13,"{0: [76, 86, 18], 1: [20, 30, 57, 6, 27], 2: [83, 70], 3: [9], 4: [84, 5, 55, 10], 5: [25, 46, 12], 6: [61, 22, 89], 7: [52, 80, 78, 2, 90], 8: [92], 9: [81, 87], 10: [67, 24], 11: [85, 28, 59], 12: [91]}"
16,"{0: [9], 1: [6, 28], 2: [24, 18], 3: [83, 86, 84, 70], 4: [2, 61, 91], 5: [55, 87, 46, 22, 27], 6: [52, 5, 67], 7: [81, 80, 25, 30, 92], 8: [12], 9: [89], 10: [76], 11: [85, 90, 59], 12: [57], 13: [10], 14: [78], 15: [20]}"
9,"{0: [52, 85, 61, 59], 1: [83, 25, 86, 78, 87, 57, 27], 2: [22, 9, 70, 10], 3: [81, 5, 89, 92], 4: [46, 6], 5: [2, 12], 6: [76, 30, 55, 91], 7: [80, 20, 84, 67, 18], 8: [90, 28, 24]}"
11,"{0: [52, 78, 55], 1: [87, 57, 27], 2: [81, 25, 5, 90, 22, 10], 3: [76, 46], 4: [85, 2, 28], 5: [80, 20, 86], 6: [67, 9, 70, 92], 7: [30, 91], 8: [84, 89, 24], 9: [83, 12, 59], 10: [61, 6, 18]}"
15,"{0: [10], 1: [86, 46, 70], 2: [52, 85, 84], 3: [81], 4: [78, 22, 57], 5: [25, 20, 30, 87, 12, 18], 6: [80, 76, 90], 7: [91, 24], 8: [5], 9: [67, 59], 10: [61, 6, 9], 11: [83, 28, 27], 12: [89], 13: [55], 14: [2, 92]}"
12,"{0: [30, 90, 89, 24, 92], 1: [80, 86, 78, 2, 57], 2: [67, 22, 6, 27], 3: [91, 9], 4: [52, 87, 46, 59, 70], 5: [84, 61], 6: [12, 18], 7: [81, 85, 10], 8: [25, 20], 9: [83, 55], 10: [28], 11: [76, 5]}"
13,"{0: [46], 1: [83, 52, 81, 61, 90, 18], 2: [12, 67], 3: [78, 30], 4: [20, 86, 89, 6], 5: [80, 76, 25, 84, 22, 92], 6: [24], 7: [2, 91], 8: [5, 87, 9], 9: [85, 57, 27, 59], 10: [28, 10], 11: [70], 12: [55]}"
14,"{0: [76], 1: [20, 22, 59, 92], 2: [80, 24], 3: [83, 90], 4: [85], 5: [46, 12, 89, 10], 6: [61], 7: [78, 30, 67, 18], 8: [52, 86], 9: [5], 10: [84, 91, 57, 6, 70], 11: [81, 25, 87], 12: [28], 13: [2, 55, 9, 27]}"
13,"{0: [9, 24, 59], 1: [52, 6], 2: [84, 78, 22, 57], 3: [30, 87], 4: [20, 55, 91, 27], 5: [76, 61], 6: [90, 89, 28, 10], 7: [25], 8: [86], 9: [5], 10: [83, 46, 12], 11: [81, 80, 85, 92], 12: [2, 67, 70, 18]}"
13,"{0: [20, 86, 24], 1: [52, 76, 85, 84, 78, 28], 2: [30, 87, 91, 22], 3: [25], 4: [83], 5: [67, 9], 6: [57, 27, 70, 10], 7: [81, 90], 8: [5, 18], 9: [46, 89], 10: [55], 11: [80, 61, 59, 92], 12: [2, 12, 6]}"
15,"{0: [46, 59, 92], 1: [9, 24, 10], 2: [52, 12, 91, 22], 3: [76, 87], 4: [83, 67], 5: [86, 27], 6: [30], 7: [55], 8: [25, 2, 61, 89, 6], 9: [28], 10: [20, 90, 18], 11: [81, 85, 84, 78], 12: [70], 13: [80, 57], 14: [5]}"
11,"{0: [81, 90], 1: [76, 20, 10], 2: [52, 78], 3: [12, 61, 91, 57, 9], 4: [80, 30, 2, 55, 46, 70], 5: [83, 84, 5, 92], 6: [28, 59], 7: [87, 24, 18], 8: [25, 85, 89, 6], 9: [86, 22], 10: [67, 27]}"
15,"{0: [85], 1: [76, 22, 59], 2: [83, 52, 18], 3: [5, 24, 10], 4: [25, 57], 5: [86, 55, 87, 27], 6: [80, 78, 92], 7: [30, 46, 9, 70], 8: [61], 9: [6], 10: [20, 2, 89], 11: [12, 90, 91], 12: [81, 67], 13: [28], 14: [84]}"
17,"{0: [59, 18], 1: [85, 91], 2: [25, 5, 2, 89, 92, 10], 3: [90], 4: [83, 52], 5: [22], 6: [87, 12], 7: [76, 86, 30, 9, 24], 8: [20, 6], 9: [80, 61], 10: [81, 28, 27], 11: [78, 57], 12: [55], 13: [70], 14: [84], 15: [46], 16: [67]}"
14,"{0: [52, 76, 20, 61, 9], 1: [85, 59, 70, 92], 2: [81], 3: [86, 67, 89, 18, 10], 4: [84, 78, 6], 5: [30, 22], 6: [83], 7: [55, 87, 27], 8: [5, 91], 9: [25, 46, 12], 10: [2, 28], 11: [57], 12: [90, 24], 13: [80]}"
11,"{0: [20, 22, 70], 1: [81, 85, 5, 57, 6, 24], 2: [90, 10], 3: [55, 67, 27], 4: [52, 59, 18], 5: [80, 25, 78], 6: [86, 30, 12, 61, 89, 28], 7: [84, 2, 91, 9], 8: [92], 9: [83, 87, 46], 10: [76]}"
17,"{0: [59], 1: [78, 46], 2: [85], 3: [80, 86, 12, 70], 4: [84, 5, 9], 5: [25, 67], 6: [20, 27], 7: [81, 57, 10], 8: [52, 2, 55, 24], 9: [90, 22, 92], 10: [18], 11: [76, 89], 12: [6], 13: [30, 91], 14: [83, 28], 15: [61], 16: [87]}"
14,"{0: [83, 91, 9], 1: [80, 2, 55, 6], 2: [78, 57], 3: [86, 46, 24, 59], 4: [84, 10], 5: [30, 61, 22], 6: [25, 5, 67], 7: [81, 85], 8: [20, 87, 90], 9: [52, 89], 10: [28, 27], 11: [70, 18], 12: [76, 92], 13: [12]}"
15,"{0: [67, 89, 59], 1: [86, 61, 6, 18], 2: [78, 46, 91], 3: [2], 4: [83, 80, 24], 5: [30, 28], 6: [85, 84, 12, 92], 7: [76, 25, 90, 27], 8: [81, 70], 9: [20], 10: [5, 87, 10], 11: [22], 12: [55, 9], 13: [57], 14: [52]}"
10,"{0: [85, 67, 10], 1: [20, 46, 12, 90, 91, 9, 59], 2: [30, 87, 61, 22], 3: [52, 5, 89, 57, 6], 4: [86, 2], 5: [76, 84, 70, 18], 6: [83, 25, 28], 7: [80, 78], 8: [81, 55, 92], 9: [24, 27]}"
14,"{0: [86, 70], 1: [84, 92], 2: [83, 25, 85, 22, 89, 28], 3: [76, 2, 67], 4: [87, 12, 9], 5: [61, 6, 27], 6: [80, 91, 24], 7: [18], 8: [78, 55], 9: [20, 5, 90, 57], 10: [46], 11: [10], 12: [52, 81, 59], 13: [30]}"
12,"{0: [76, 5, 30], 1: [81, 61, 27], 2: [83, 70], 3: [78, 9], 4: [80, 86, 2, 90, 10], 5: [46, 89, 28, 59, 18], 6: [85, 92], 7: [87, 67, 91], 8: [25, 12, 6], 9: [52], 10: [20, 84, 57, 24], 11: [55, 22]}"
10,"{0: [30, 24], 1: [80, 20, 87, 6], 2: [76, 5, 61, 27], 3: [83, 85, 22, 92, 18], 4: [52, 86, 89], 5: [46, 67, 9], 6: [81, 2, 57, 28, 70, 10], 7: [25, 12], 8: [84, 78, 55, 59], 9: [90, 91]}"
15,"{0: [81, 30, 57], 1: [84, 10], 2: [83, 52, 55, 12, 28], 3: [5, 27, 59], 4: [25, 78], 5: [92], 6: [61, 24], 7: [67], 8: [6], 9: [46, 9], 10: [20], 11: [87, 91, 89, 70], 12: [80, 86, 90, 18], 13: [76, 2], 14: [85, 22]}"
11,"{0: [83, 20, 46, 90], 1: [76, 86, 84, 57], 2: [52, 61, 89, 9, 92], 3: [80, 55, 91, 27, 10], 4: [81, 30, 2, 12], 5: [85, 87, 6, 24], 6: [25, 67, 18], 7: [78, 59], 8: [22], 9: [5, 70], 10: [28]}"
11,"{0: [80, 30, 91, 18], 1: [83, 5, 55, 61, 9], 2: [76, 46, 22, 89], 3: [86, 78, 90, 59, 10], 4: [81, 87, 70], 5: [2, 12, 28], 6: [52, 25, 84], 7: [85, 24, 27, 92], 8: [6], 9: [20, 57], 10: [67]}"
14,"{0: [55, 92], 1: [20, 89], 2: [52, 5, 90, 22, 18, 10], 3: [83, 87], 4: [84, 67, 57], 5: [27], 6: [25, 86, 6], 7: [85, 78], 8: [61, 91, 28, 9, 24], 9: [80, 46, 12, 59], 10: [2, 70], 11: [76], 12: [81], 13: [30]}"
11,"{0: [20, 55], 1: [52], 2: [78, 22], 3: [6, 70, 92, 10], 4: [81, 80, 86, 30, 61, 67, 9, 24], 5: [83, 25, 90, 91, 18], 6: [27], 7: [2, 12, 28], 8: [85, 5, 46, 89], 9: [76, 84, 87, 57], 10: [59]}"
11,"{0: [84, 46, 61, 67, 28, 27], 1: [81, 87, 59], 2: [85, 78, 55, 6], 3: [2, 90, 92], 4: [80, 30, 22, 10], 5: [20, 24, 70], 6: [86, 12, 89], 7: [52, 57, 9], 8: [91, 18], 9: [83, 5], 10: [76, 25]}"
13,"{0: [76, 90], 1: [81, 78, 5, 22, 59], 2: [46, 61, 89, 57], 3: [2, 55], 4: [52, 85, 20, 30, 28, 70, 92], 5: [67], 6: [6], 7: [25, 12], 8: [83, 86, 24, 10], 9: [80, 91, 27], 10: [84], 11: [9, 18], 12: [87]}"
15,"{0: [81, 76, 89], 1: [6], 2: [20, 24, 10], 3: [85, 12], 4: [52, 92], 5: [25, 27], 6: [55, 46, 91, 22], 7: [80], 8: [78, 67, 28, 70], 9: [30, 61, 90, 59], 10: [2], 11: [86, 57], 12: [18], 13: [84, 5, 87, 9], 14: [83]}"
14,"{0: [30, 61, 92], 1: [78, 28, 24, 59], 2: [91, 9, 70], 3: [83, 80, 84, 55, 22], 4: [81, 25, 12, 18], 5: [5], 6: [76, 10], 7: [52, 86, 67, 6], 8: [2, 57], 9: [85, 89], 10: [20, 90], 11: [87], 12: [27], 13: [46]}"
13,"{0: [81, 90, 10], 1: [20, 28, 70], 2: [86, 55, 46, 89, 57], 3: [87], 4: [84, 78, 30, 67], 5: [76, 12], 6: [22, 6, 27], 7: [85, 2, 91, 24, 18], 8: [52, 61, 9, 59], 9: [92], 10: [25, 5], 11: [83], 12: [80]}"
12,"{0: [85, 84, 5, 22, 70, 92, 18], 1: [12, 67, 89, 57, 10], 2: [52, 81, 59], 3: [86, 6, 9], 4: [55, 46, 24], 5: [83, 20, 87, 91, 28], 6: [76], 7: [80, 2], 8: [30], 9: [27], 10: [25, 78], 11: [61, 90]}"
11,"{0: [81, 76, 25, 84, 12, 59], 1: [57], 2: [30, 6, 24], 3: [83, 5, 55, 61, 90, 89, 18], 4: [52, 87, 91, 22, 70], 5: [80, 67, 28, 9, 92], 6: [20, 78], 7: [2, 10], 8: [46], 9: [85, 27], 10: [86]}"
10,"{0: [89, 18], 1: [52, 76, 30, 12, 22, 9, 24, 59], 2: [86, 55, 90], 3: [61, 67], 4: [84, 57, 92], 5: [80, 2, 28], 6: [25, 87, 46, 6, 27], 7: [81, 85, 20, 91, 70], 8: [83, 78, 5], 9: [10]}"
11,"{0: [86, 70], 1: [80, 30, 46, 12, 61], 2: [85, 27], 3: [84, 24, 18], 4: [78, 5, 91, 22, 10], 5: [20, 87, 6, 9], 6: [52, 25, 2], 7: [76, 67, 59], 8: [83, 89], 9: [55, 90, 57, 28], 10: [81, 92]}"
11,"{0: [83, 22, 9], 1: [5, 89, 59, 10], 2: [25, 20, 78, 70], 3: [86, 55, 12], 4: [52, 30, 91, 6], 5: [87, 67, 90], 6: [61, 28, 18], 7: [2, 46, 57], 8: [80, 85, 24], 9: [81, 27, 92], 10: [76, 84]}"
9,"{0: [12, 67, 6, 59], 1: [20, 30, 46, 61, 22, 92], 2: [83, 52, 76, 84, 87, 90, 57, 70], 3: [81, 86, 27], 4: [9, 18], 5: [85, 78], 6: [25, 91, 28], 7: [80, 5, 2, 55, 89], 8: [24, 10]}"
12,"{0: [83, 55, 61], 1: [85, 30], 2: [86, 87, 10], 3: [76, 78], 4: [25, 90, 28, 18], 5: [52, 5], 6: [80, 70, 92], 7: [20, 84, 67, 27], 8: [46, 91, 89, 57, 9, 24], 9: [59], 10: [81, 22], 11: [2, 12, 6]}"
14,"{0: [55], 1: [10], 2: [30, 28], 3: [83, 81, 85, 78, 61, 89, 92], 4: [5, 87, 6], 5: [22, 59], 6: [52, 25, 20, 67], 7: [76, 91, 9], 8: [86, 84, 46], 9: [27, 18], 10: [57, 24], 11: [2, 90, 70], 12: [80], 13: [12]}"
13,"{0: [83, 81, 61, 22], 1: [90, 28], 2: [84, 87, 89, 70], 3: [76, 85, 20, 6, 24], 4: [91, 10], 5: [78, 5], 6: [30, 2, 57, 9, 92], 7: [52, 86], 8: [25, 12, 67], 9: [46, 59, 18], 10: [80], 11: [55], 12: [27]}"
11,"{0: [83, 22, 18], 1: [55, 28, 70], 2: [80, 25, 46, 91, 9], 3: [52, 84, 5, 27], 4: [81, 76, 89, 6], 5: [20, 87, 67, 92], 6: [86, 12, 90, 57, 59], 7: [85, 30, 2], 8: [24, 10], 9: [61], 10: [78]}"
10,"{0: [83, 81, 25, 2, 6, 24, 92], 1: [80, 86, 78, 5, 10], 2: [89, 9], 3: [57, 28], 4: [85, 87, 27, 70], 5: [84, 55, 91, 18], 6: [20, 30, 12, 22], 7: [52, 76, 61], 8: [67, 90, 59], 9: [46]}"
15,"{0: [86, 22], 1: [76, 30, 89], 2: [80, 20, 70], 3: [85, 55, 57], 4: [90, 92], 5: [83, 6], 6: [25, 2, 9], 7: [87, 10], 8: [52, 84, 67, 59], 9: [46, 28], 10: [5, 27], 11: [81, 12, 24], 12: [78, 61], 13: [18], 14: [91]}"
14,"{0: [67, 57, 70], 1: [80, 86, 92], 2: [83, 52, 25, 61, 59, 18], 3: [5, 2, 12], 4: [90, 91], 5: [85, 30], 6: [78, 27], 7: [55, 46, 28, 9], 8: [10], 9: [81, 20, 87], 10: [24], 11: [76, 89, 6], 12: [84], 13: [22]}"
15,"{0: [12, 89], 1: [25, 86, 84, 70], 2: [2], 3: [81, 78], 4: [52, 57, 6], 5: [91, 9, 92], 6: [80, 61], 7: [90, 28], 8: [83, 20, 27], 9: [5, 24], 10: [76], 11: [46], 12: [30, 55, 67], 13: [87, 22, 18], 14: [85, 59, 10]}"
12,"{0: [85, 87, 46, 27, 10], 1: [83, 52, 30], 2: [81, 91], 3: [18], 4: [86, 12, 89], 5: [25, 84, 5, 24], 6: [20, 61, 9, 92], 7: [2, 90, 6], 8: [28, 59], 9: [67, 22], 10: [80, 78, 55, 57, 70], 11: [76]}"
11,"{0: [55, 12, 57, 92, 18], 1: [46, 90], 2: [52, 20, 59], 3: [76, 85], 4: [25, 24], 5: [83, 30, 87, 91, 28], 6: [5, 22, 27, 10], 7: [81, 80, 2], 8: [78, 61, 9, 70], 9: [86, 84, 67, 89], 10: [6]}"
13,"{0: [25, 85, 84, 55, 46], 1: [20, 24], 2: [76, 9, 27, 92], 3: [81, 57], 4: [5, 12], 5: [52, 78], 6: [80, 30, 2, 90, 91, 89, 10], 7: [67, 6], 8: [83, 28, 59], 9: [18], 10: [87, 22, 70], 11: [61], 12: [86]}"
14,"{0: [52], 1: [91, 28, 27, 18], 2: [2, 61], 3: [81, 25, 55], 4: [86, 59], 5: [20, 78, 87], 6: [85], 7: [46, 22], 8: [76, 12, 90, 6], 9: [83, 30], 10: [70, 92], 11: [80, 67, 24], 12: [84, 9], 13: [5, 89, 57, 10]}"
11,"{0: [25, 85, 28, 10], 1: [22, 70, 92], 2: [67, 91, 18], 3: [52, 84, 2, 46, 90, 24, 27], 4: [76, 78, 6], 5: [81, 20, 12, 9], 6: [5], 7: [80, 86, 55, 61], 8: [83, 89, 57, 59], 9: [30], 10: [87]}"
