Task_Groups,Number_of_Task_Groups
"{0: [84, 46, 22, 70], 1: [81, 25, 20, 78, 5, 2, 87, 57, 24], 2: [30, 61, 92], 3: [76, 67, 90, 9, 59], 4: [85, 55, 12, 28], 5: [10], 6: [18], 7: [83, 52, 86], 8: [80, 27], 9: [91, 89, 6]}",10
"{0: [28, 18], 1: [52, 87, 61, 67], 2: [76, 85, 86, 30, 12, 22], 3: [5, 89, 59], 4: [80, 6], 5: [57], 6: [25, 20, 84, 78, 2, 46, 90, 91, 70], 7: [81, 92], 8: [24], 9: [27, 10], 10: [83, 55, 9]}",11
"{0: [5, 57, 59, 18, 10], 1: [81, 6], 2: [52, 20, 86, 84, 24, 92], 3: [80, 87, 22], 4: [83, 46, 67, 91], 5: [27], 6: [78, 12, 70], 7: [2, 55, 9], 8: [30], 9: [25, 85, 90], 10: [61, 89], 11: [28], 12: [76]}",13
"{0: [52, 90, 89], 1: [2, 91], 2: [5, 55, 18], 3: [86, 59, 70], 4: [83, 81, 76, 9], 5: [78, 87, 27, 92, 10], 6: [22, 24], 7: [12, 67], 8: [20, 46, 57], 9: [61], 10: [80, 6], 11: [84], 12: [25, 85, 28], 13: [30]}",14
"{0: [78, 5, 30, 55, 61, 89], 1: [80, 6], 2: [25, 86, 46, 9], 3: [83, 52, 76, 87], 4: [70, 92], 5: [90, 59], 6: [67, 57], 7: [85, 84, 12, 27], 8: [91, 22, 28, 24, 10], 9: [81, 20], 10: [2, 18]}",11
"{0: [52, 78, 55], 1: [87, 57, 27], 2: [81, 25, 5, 90, 22, 10], 3: [76, 46], 4: [85, 2, 28], 5: [80, 20, 86], 6: [67, 9, 70, 92], 7: [30, 91], 8: [84, 89, 24], 9: [83, 12, 59], 10: [61, 6, 18]}",11
"{0: [30, 87, 91, 92], 1: [57, 9, 24, 59, 10], 2: [76, 5], 3: [85, 20, 84, 12], 4: [46, 67, 28], 5: [90], 6: [2, 55, 6], 7: [25, 70], 8: [83, 52, 80, 22], 9: [81, 27, 18], 10: [78], 11: [86], 12: [89], 13: [61]}",14
"{0: [22, 6, 92, 18], 1: [85, 20, 46, 12], 2: [84, 78, 90, 27, 59], 3: [91], 4: [25, 28, 9], 5: [55, 87, 89], 6: [83, 5, 30, 2], 7: [52, 81, 80, 86, 24, 10], 8: [76], 9: [67], 10: [57], 11: [61], 12: [70]}",13
"{0: [25, 84, 78, 87, 22, 10], 1: [76, 67, 89, 28, 24], 2: [30, 61], 3: [85, 90, 18], 4: [80, 2, 46, 91, 70], 5: [20, 27, 59], 6: [81], 7: [83, 55, 6], 8: [57], 9: [52, 86, 12], 10: [5, 92], 11: [9]}",12
"{0: [20, 86, 84, 12, 90, 9, 18], 1: [83, 30, 59, 70], 2: [81, 2], 3: [52, 80, 57], 4: [5, 87, 92], 5: [76, 85, 61, 67, 10], 6: [28, 27], 7: [6, 24], 8: [55, 46], 9: [22], 10: [25, 78], 11: [91], 12: [89]}",13
"{0: [52, 5, 61, 89], 1: [83, 46, 9, 59, 18, 10], 2: [81, 55, 90], 3: [2, 92], 4: [80, 84, 70], 5: [76, 86, 78, 30], 6: [22, 24, 27], 7: [25, 85, 67, 57], 8: [87, 91, 28], 9: [20, 12], 10: [6]}",11
"{0: [84, 22], 1: [85, 92, 10], 2: [20, 70], 3: [80, 12, 6], 4: [5, 89, 57], 5: [61, 24], 6: [83, 46], 7: [86, 78, 30, 28], 8: [2, 91], 9: [76, 59, 18], 10: [52, 55], 11: [81, 87, 67], 12: [27], 13: [25, 90, 9]}",14
"{0: [78, 61, 24, 27], 1: [52, 80, 9], 2: [25, 85, 67, 91, 6, 70], 3: [12, 89, 92], 4: [30, 18], 5: [81, 76, 2], 6: [55, 46, 90, 22], 7: [5], 8: [83, 20, 10], 9: [86, 87, 57], 10: [59], 11: [84, 28]}",12
"{0: [81, 30, 57], 1: [84, 10], 2: [83, 52, 55, 12, 28], 3: [5, 27, 59], 4: [25, 78], 5: [92], 6: [61, 24], 7: [67], 8: [6], 9: [46, 9], 10: [20], 11: [87, 91, 89, 70], 12: [80, 86, 90, 18], 13: [76, 2], 14: [85, 22]}",15
"{0: [76, 46], 1: [30, 55, 91, 57, 9], 2: [83, 85, 78, 87], 3: [24, 18], 4: [2, 27], 5: [86, 6], 6: [52, 25, 20, 12, 67, 70], 7: [80], 8: [90, 22, 89], 9: [5, 61, 92], 10: [84, 59], 11: [81], 12: [10], 13: [28]}",14
"{0: [83, 25, 2, 12], 1: [52, 20, 78, 91, 27], 2: [85, 84, 46, 6, 18], 3: [81, 61, 22, 89], 4: [87, 90, 24, 70], 5: [30, 10], 6: [76, 92], 7: [57, 9], 8: [55, 67], 9: [28], 10: [59], 11: [5], 12: [86], 13: [80]}",14
"{0: [80, 55, 89, 10], 1: [25, 78, 46, 67, 18], 2: [85, 90, 28, 9, 59], 3: [20, 12], 4: [52, 87, 91], 5: [83, 2, 22, 6], 6: [81, 5, 61, 27], 7: [86, 30, 70], 8: [76, 84, 24, 92], 9: [57]}",10
"{0: [55], 1: [10], 2: [30, 28], 3: [83, 81, 85, 78, 61, 89, 92], 4: [5, 87, 6], 5: [22, 59], 6: [52, 25, 20, 67], 7: [76, 91, 9], 8: [86, 84, 46], 9: [27, 18], 10: [57, 24], 11: [2, 90, 70], 12: [80], 13: [12]}",14
"{0: [86, 22], 1: [76, 30, 89], 2: [80, 20, 70], 3: [85, 55, 57], 4: [90, 92], 5: [83, 6], 6: [25, 2, 9], 7: [87, 10], 8: [52, 84, 67, 59], 9: [46, 28], 10: [5, 27], 11: [81, 12, 24], 12: [78, 61], 13: [18], 14: [91]}",15
"{0: [90, 91], 1: [81, 76, 46, 61, 28, 27], 2: [52, 5, 12, 22, 9, 59], 3: [2, 6], 4: [78, 10], 5: [84, 55, 87, 67, 89], 6: [57, 24], 7: [86], 8: [85], 9: [83, 80, 18], 10: [20, 30], 11: [25], 12: [70, 92]}",13
"{0: [5, 30, 90], 1: [84, 9, 59], 2: [67, 6, 92], 3: [76, 85, 55, 89, 24], 4: [87, 12, 18, 10], 5: [81, 61], 6: [20, 86, 91, 22], 7: [80, 2, 27], 8: [52, 46, 57], 9: [70], 10: [83, 25, 78, 28]}",11
"{0: [81, 80, 90, 22, 27, 18], 1: [84, 46, 89, 70], 2: [85, 10], 3: [76, 30, 87, 12, 91], 4: [55], 5: [2, 61, 6], 6: [5, 24], 7: [83, 57, 92], 8: [67, 28], 9: [78], 10: [20], 11: [86], 12: [25], 13: [52, 9, 59]}",14
"{0: [86, 22, 27], 1: [85, 61, 57], 2: [5, 87, 91, 70], 3: [78, 12, 18], 4: [25, 2, 67, 92], 5: [83, 76, 89, 10], 6: [28], 7: [52, 81, 84, 9, 24], 8: [30, 59], 9: [80, 20, 55, 46, 90], 10: [6]}",11
"{0: [52, 55, 90, 27], 1: [85, 30], 2: [76, 5, 6, 59], 3: [25, 12, 57, 28, 70], 4: [20, 2, 22, 89], 5: [81, 84], 6: [86, 87, 46, 61], 7: [80, 78, 91, 24, 92, 18], 8: [9], 9: [83, 67, 10]}",10
"{0: [83, 90], 1: [81, 86, 30], 2: [80, 78, 70, 18], 3: [5, 2, 61, 59], 4: [89, 6, 27, 92], 5: [22, 10], 6: [84, 28], 7: [46, 12], 8: [25, 20, 87, 67, 91], 9: [76], 10: [52], 11: [85, 55, 24], 12: [9], 13: [57]}",14
"{0: [55, 12], 1: [2, 57, 24], 2: [46, 10], 3: [78, 30, 89], 4: [67, 90], 5: [81, 87, 91, 70], 6: [25, 84, 61], 7: [76, 20, 27, 59], 8: [85, 86], 9: [83, 52, 22, 92], 10: [80, 5], 11: [28, 9, 18], 12: [6]}",13
"{0: [80, 91, 24], 1: [84, 57, 6, 9], 2: [52, 78], 3: [83, 2], 4: [76, 25, 85, 20], 5: [28], 6: [30, 55, 61], 7: [5, 67, 27, 10], 8: [12, 89, 70, 18], 9: [86, 46], 10: [87, 90], 11: [81, 22, 92], 12: [59]}",13
"{0: [80, 5], 1: [30, 61, 59, 70], 2: [52, 76, 25, 85, 86, 91, 27], 3: [20, 46, 28], 4: [90], 5: [67, 6, 92], 6: [83, 89, 18, 10], 7: [87], 8: [2, 55, 12, 57, 9, 24], 9: [81, 84, 78, 22]}",10
"{0: [76, 78], 1: [80, 87, 91], 2: [86, 28, 24], 3: [83, 52, 20, 70, 92, 10], 4: [61, 57, 6, 59], 5: [5, 2], 6: [25, 84, 27], 7: [67, 90, 9], 8: [18], 9: [81, 85, 22], 10: [30, 89], 11: [46], 12: [12], 13: [55]}",14
"{0: [84, 5, 67, 90, 89], 1: [46, 91, 57, 28, 24], 2: [25, 85, 20, 61], 3: [52, 27], 4: [22, 59], 5: [81, 86, 78, 92, 18], 6: [87, 12, 6, 10], 7: [76, 30], 8: [83, 9, 70], 9: [80, 2, 55]}",10
"{0: [86], 1: [22, 28], 2: [78, 12, 24, 18], 3: [20], 4: [80, 84, 9, 59], 5: [52, 81, 46], 6: [30, 90, 6, 10], 7: [85, 5, 61, 91, 57], 8: [76, 55], 9: [89], 10: [2, 67, 27, 70, 92], 11: [25], 12: [87], 13: [83]}",14
"{0: [30, 18], 1: [52, 2, 57], 2: [12, 24], 3: [81, 9, 92], 4: [5], 5: [83, 28], 6: [80, 86, 55, 87, 67, 90, 22, 89], 7: [25, 46, 61, 10], 8: [76], 9: [85, 27], 10: [84, 91, 6], 11: [78, 59], 12: [20, 70]}",13
"{0: [12, 57], 1: [27, 59], 2: [83, 20, 86, 84, 30, 55, 46], 3: [52, 78, 61], 4: [5, 70], 5: [80, 92], 6: [76, 25, 85], 7: [9, 18, 10], 8: [87, 89, 6, 28], 9: [67, 91], 10: [2, 90, 22], 11: [81], 12: [24]}",13
"{0: [46, 9], 1: [83, 89, 10], 2: [24, 27, 92], 3: [80, 5, 12, 18], 4: [67, 6, 59], 5: [81, 20, 86, 30, 87, 61, 70], 6: [90], 7: [52, 85, 84, 2, 91], 8: [25, 22], 9: [57], 10: [78, 55, 28], 11: [76]}",12
"{0: [80, 25, 5, 24], 1: [61, 28, 27], 2: [76, 86, 57, 10], 3: [9, 92], 4: [52, 2, 55, 87, 22, 89, 18], 5: [78], 6: [81, 20, 30], 7: [6], 8: [85, 90], 9: [84, 70], 10: [83, 91], 11: [46, 59], 12: [12, 67]}",13
"{0: [81, 91, 57, 24], 1: [85, 6, 92, 18], 2: [55, 46, 28], 3: [84, 78, 22, 9], 4: [83, 25, 61, 70], 5: [86, 5, 30, 67], 6: [80, 20, 89], 7: [90], 8: [12, 59, 10], 9: [52], 10: [87, 27], 11: [76], 12: [2]}",13
"{0: [24], 1: [87, 67, 10], 2: [83, 20, 12], 3: [25, 85, 90, 6], 4: [84, 91, 27], 5: [86, 78, 46, 92], 6: [59], 7: [81], 8: [30, 22, 57], 9: [52, 80, 55, 61], 10: [28, 18], 11: [2, 89], 12: [76, 5], 13: [70], 14: [9]}",15
"{0: [46], 1: [92], 2: [86, 91, 18], 3: [80, 24, 70], 4: [52, 25, 84, 55, 12, 89], 5: [20, 6, 28, 27], 6: [78, 10], 7: [30, 57, 9], 8: [83, 61], 9: [76], 10: [2], 11: [81], 12: [85, 5, 90], 13: [87, 59], 14: [67], 15: [22]}",16
"{0: [84, 67, 22, 28, 92], 1: [76, 89], 2: [78, 5, 12], 3: [83, 55, 24, 70], 4: [81, 2, 61, 91, 59], 5: [25, 20, 30, 46], 6: [27], 7: [80, 85], 8: [18], 9: [86], 10: [52, 90, 10], 11: [87], 12: [9], 13: [57, 6]}",14
"{0: [9], 1: [85, 84, 30, 91], 2: [61, 27, 18], 3: [78, 10], 4: [81, 80, 57, 6, 92], 5: [20, 46, 90, 24], 6: [25, 55, 28], 7: [5], 8: [83, 76, 87, 22], 9: [2], 10: [89], 11: [52, 86], 12: [67], 13: [12, 59, 70]}",14
"{0: [46, 92], 1: [91], 2: [83, 25, 86, 2, 90, 9, 70, 10], 3: [52, 76, 84], 4: [12, 61], 5: [28, 18], 6: [5, 22], 7: [78, 55, 6, 59], 8: [81, 80, 20, 27], 9: [30, 89, 57], 10: [24], 11: [67], 12: [85, 87]}",13
"{0: [83, 86, 78, 12, 61, 9, 18], 1: [57, 28], 2: [52, 46, 22, 27, 10], 3: [85, 84, 89], 4: [67], 5: [90], 6: [5], 7: [81, 6], 8: [55], 9: [76, 25, 59], 10: [91, 92], 11: [80, 20, 2, 24, 70], 12: [30], 13: [87]}",14
"{0: [20, 46, 67, 18, 10], 1: [76, 85, 2, 61, 91, 9], 2: [86, 78, 5, 6, 59], 3: [81, 84, 22, 89, 57, 27], 4: [30, 55, 24, 70], 5: [80, 87], 6: [83], 7: [28], 8: [52, 12], 9: [25, 90, 92]}",10
"{0: [83], 1: [81, 84, 89, 24], 2: [30, 87, 91], 3: [20, 55, 27], 4: [86, 78, 92], 5: [22], 6: [67], 7: [28], 8: [2, 57, 70, 10], 9: [90, 59, 18], 10: [12, 61], 11: [85, 46], 12: [6, 9], 13: [80, 76], 14: [52, 25], 15: [5]}",16
"{0: [85, 27], 1: [83, 52, 87, 12, 22, 92], 2: [20, 86, 28], 3: [2, 55], 4: [76, 30, 89, 6, 59], 5: [91, 18], 6: [90], 7: [5, 9], 8: [81, 80, 61, 57, 24], 9: [25], 10: [46], 11: [67, 10], 12: [78], 13: [70], 14: [84]}",15
"{0: [52, 86, 78, 55, 89], 1: [20, 57, 6, 92], 2: [85, 5, 46, 90], 3: [80, 84], 4: [30, 91], 5: [81, 2, 67, 22, 70], 6: [25], 7: [61, 28, 24, 18], 8: [83, 87, 27, 59], 9: [76, 12, 9, 10]}",10
"{0: [80, 87, 61, 24], 1: [46, 9], 2: [76, 85, 2, 90, 70], 3: [81, 25, 5, 12, 57], 4: [27, 18], 5: [52, 20, 67, 28, 59], 6: [91, 89], 7: [83], 8: [22, 10], 9: [84], 10: [86, 92], 11: [78], 12: [30, 6], 13: [55]}",14
"{0: [57, 27], 1: [81, 80, 76, 22, 28, 10], 2: [61, 89], 3: [52, 9], 4: [6], 5: [85, 5, 55, 92, 18], 6: [86, 59, 70], 7: [12, 91], 8: [78, 46], 9: [84, 30, 2, 67, 24], 10: [87, 90], 11: [83, 25, 20]}",12
"{0: [80, 25, 84, 57], 1: [76, 2], 2: [87, 90, 9, 59], 3: [30, 70], 4: [81, 86, 12], 5: [5, 91, 89], 6: [85, 78, 6, 27], 7: [24], 8: [22, 28, 92, 10], 9: [61], 10: [52, 20], 11: [83, 46, 67, 18], 12: [55]}",13
"{0: [76, 85, 46, 67, 22, 89], 1: [81, 80, 27, 59], 2: [30, 12], 3: [87, 91, 6, 18], 4: [20, 86, 61], 5: [55, 57, 28], 6: [5, 24, 70], 7: [83, 2, 9, 10], 8: [90], 9: [25, 92], 10: [84, 78], 11: [52]}",12
"{0: [20, 61, 89, 28], 1: [30, 67], 2: [5, 46, 12], 3: [85, 9, 24, 92, 10], 4: [81, 86, 78, 90, 59, 18], 5: [83, 80, 22], 6: [25, 27], 7: [52, 70], 8: [6], 9: [2, 55], 10: [76, 87], 11: [57], 12: [84], 13: [91]}",14
"{0: [85, 91, 6], 1: [76, 59], 2: [81, 25, 20, 5, 89], 3: [83, 12], 4: [22, 27], 5: [87, 57, 92], 6: [70], 7: [80, 24], 8: [30, 55, 61, 67], 9: [90, 18], 10: [78, 2], 11: [52], 12: [46, 9], 13: [84, 10], 14: [86], 15: [28]}",16
"{0: [84, 30, 61, 89, 18], 1: [67, 91, 6, 10], 2: [83, 46, 92], 3: [80, 78], 4: [52, 86], 5: [25, 2, 87, 9, 59], 6: [76, 85, 90, 24], 7: [81, 20, 28, 27], 8: [5, 55, 12, 22], 9: [57, 70]}",10
"{0: [52, 86, 24, 18], 1: [81, 76, 78, 91], 2: [57, 70], 3: [80, 25, 85, 5, 89, 10], 4: [20, 84, 67, 90, 6, 27], 5: [22], 6: [55], 7: [30, 61, 59, 92], 8: [2, 28], 9: [83, 87, 46], 10: [12], 11: [9]}",12
"{0: [22, 24, 27], 1: [83, 52, 76, 25, 67], 2: [81, 20, 84, 2, 70], 3: [5, 6, 9, 92, 10], 4: [12, 61, 18], 5: [55], 6: [85, 30, 90, 59], 7: [87], 8: [86, 46, 91, 28], 9: [57], 10: [89], 11: [78], 12: [80]}",13
"{0: [25, 30], 1: [52, 28, 18], 2: [83, 85, 5, 87, 90], 3: [80, 86, 78, 70, 10], 4: [84, 61, 57, 27], 5: [81, 46, 89], 6: [22, 24, 92], 7: [2, 55, 67, 9], 8: [12], 9: [76, 6], 10: [20, 91], 11: [59]}",12
"{0: [20, 55, 61, 67, 57, 24], 1: [30, 87, 91], 2: [85, 46], 3: [83, 81, 90, 6], 4: [52, 78, 2, 12], 5: [89, 27, 70, 18], 6: [80, 25], 7: [84, 22], 8: [9, 59], 9: [86, 5, 92, 10], 10: [76, 28]}",11
"{0: [52, 86, 18], 1: [91, 70], 2: [81, 20], 3: [83, 78, 87, 22, 92], 4: [76, 84, 10], 5: [12, 90], 6: [28], 7: [80, 6, 27], 8: [5, 55, 61], 9: [25, 89, 57, 59], 10: [85, 30, 24], 11: [46, 9], 12: [2, 67]}",13
"{0: [80, 25, 84, 78, 6, 70], 1: [90, 24, 27, 92, 10], 2: [12, 22, 57, 18], 3: [52, 5], 4: [46, 91, 89], 5: [83, 85, 2, 28], 6: [81, 87, 61, 67], 7: [76, 9], 8: [55], 9: [20, 59], 10: [86, 30]}",11
"{0: [80, 85, 90, 70], 1: [52, 61, 57, 9, 59], 2: [12, 92, 10], 3: [81, 55, 91, 27, 18], 4: [83, 86, 84, 67], 5: [76, 6, 28], 6: [20], 7: [78, 5, 30, 22], 8: [25, 87], 9: [2, 89, 24], 10: [46]}",11
"{0: [46, 90, 22, 28, 59], 1: [20, 84, 55], 2: [12, 92], 3: [52, 25, 57, 24, 70], 4: [30], 5: [80, 86, 5, 9, 18], 6: [76, 2, 67, 27], 7: [81, 91], 8: [89], 9: [83, 6], 10: [85, 61], 11: [78, 10], 12: [87]}",13
"{0: [20, 55, 67, 6, 28, 24], 1: [5, 22, 57], 2: [91], 3: [76, 86, 2, 89, 92], 4: [78], 5: [83, 12, 61], 6: [25, 46], 7: [81, 85, 84], 8: [52, 9, 27, 59, 70], 9: [90, 10], 10: [80, 30, 18], 11: [87]}",12
"{0: [27], 1: [67, 9, 24, 59], 2: [61, 18], 3: [52, 25, 20, 5], 4: [78, 46], 5: [83, 76, 22, 57], 6: [6], 7: [81, 84, 30], 8: [85, 87, 89], 9: [86, 2, 12, 10], 10: [80], 11: [70], 12: [90], 13: [55, 92], 14: [28], 15: [91]}",16
"{0: [27, 59, 18], 1: [81, 2, 9, 24], 2: [46, 92], 3: [84, 67, 91, 57], 4: [25, 90], 5: [85, 55, 6], 6: [5, 30, 87], 7: [80, 76, 22, 28], 8: [52, 86, 61], 9: [70], 10: [89], 11: [83, 78, 12], 12: [10], 13: [20]}",14
"{0: [76, 90], 1: [81, 78, 5, 22, 59], 2: [46, 61, 89, 57], 3: [2, 55], 4: [52, 85, 20, 30, 28, 70, 92], 5: [67], 6: [6], 7: [25, 12], 8: [83, 86, 24, 10], 9: [80, 91, 27], 10: [84], 11: [9, 18], 12: [87]}",13
"{0: [85, 5, 55, 92], 1: [78, 91], 2: [2, 12, 28, 70], 3: [81, 80, 86, 9], 4: [46], 5: [84, 10], 6: [90, 27], 7: [76], 8: [83, 30, 89], 9: [25], 10: [20, 61, 59], 11: [52, 6], 12: [87, 22, 24, 18], 13: [67], 14: [57]}",15
"{0: [2, 27], 1: [28], 2: [86, 5, 57], 3: [78, 30, 89, 6, 59, 18], 4: [20, 91], 5: [83, 81, 12, 92], 6: [61, 22, 9], 7: [84, 67], 8: [80, 25, 46, 70], 9: [76, 85, 90], 10: [87], 11: [52], 12: [24], 13: [10], 14: [55]}",15
"{0: [46, 28, 70], 1: [84], 2: [2, 87, 91], 3: [81, 80, 55, 61], 4: [85, 57, 6, 24, 10], 5: [52, 76, 78, 67, 59], 6: [25, 27], 7: [12, 90, 9], 8: [83, 89], 9: [5, 18], 10: [86], 11: [20, 30], 12: [22, 92]}",13
"{0: [52, 25, 61, 91, 22], 1: [5, 30, 46, 90, 24, 70], 2: [55, 57, 92, 18], 3: [83, 85, 20, 87, 89, 28, 27], 4: [12, 9], 5: [81, 2, 59], 6: [76], 7: [86], 8: [10], 9: [80, 67], 10: [78], 11: [84, 6]}",12
"{0: [83, 78, 46, 90, 57, 28, 24, 27], 1: [30, 12, 91, 22], 2: [52, 89, 6, 9], 3: [87, 92, 10], 4: [85], 5: [55, 59], 6: [86, 84], 7: [76, 25, 61], 8: [20, 5, 18], 9: [81, 2], 10: [70], 11: [67], 12: [80]}",13
"{0: [52, 5, 2, 46, 22], 1: [67, 6, 28], 2: [89, 57], 3: [86, 30, 12, 18, 10], 4: [61, 90, 9], 5: [80, 91, 92], 6: [20, 55, 87, 70], 7: [83, 85, 24], 8: [78, 59], 9: [84, 27], 10: [81], 11: [25], 12: [76]}",13
"{0: [46, 91], 1: [81, 20, 90, 59], 2: [9, 92], 3: [85, 84, 67], 4: [12, 10], 5: [80, 76, 30, 61, 89, 27], 6: [25, 6, 70], 7: [22], 8: [83, 52, 5], 9: [78, 2, 18], 10: [86, 55, 24], 11: [57, 28], 12: [87]}",13
"{0: [30], 1: [67, 57], 2: [86, 84, 55, 10], 3: [61, 89, 27, 18], 4: [90, 6, 28], 5: [83, 78, 87, 59], 6: [76], 7: [81, 85, 22], 8: [9, 24, 70], 9: [20], 10: [5, 2, 46, 12, 92], 11: [52, 80, 25], 12: [91]}",13
"{0: [5, 30, 91, 24, 18], 1: [85, 46, 12, 61], 2: [83, 81, 25, 86, 84], 3: [76, 78, 2, 55, 57], 4: [87, 67, 90, 22, 89, 70], 5: [80, 28], 6: [6, 9, 59, 92], 7: [52, 10], 8: [27], 9: [20]}",10
"{0: [2, 24], 1: [81, 87, 67], 2: [30, 12, 89, 70], 3: [83], 4: [76, 9, 92], 5: [10], 6: [61, 57], 7: [25], 8: [6], 9: [20, 90, 27], 10: [80, 59], 11: [52, 46], 12: [85, 28], 13: [78], 14: [84, 55, 91], 15: [18], 16: [86, 5, 22]}",17
"{0: [52, 76, 20, 61, 9], 1: [85, 59, 70, 92], 2: [81], 3: [86, 67, 89, 18, 10], 4: [84, 78, 6], 5: [30, 22], 6: [83], 7: [55, 87, 27], 8: [5, 91], 9: [25, 46, 12], 10: [2, 28], 11: [57], 12: [90, 24], 13: [80]}",14
"{0: [25, 90, 27], 1: [30, 87, 89], 2: [52, 46, 61, 57, 6], 3: [80, 20, 5, 9, 59, 70, 10], 4: [78, 2, 28, 24], 5: [18], 6: [76, 22], 7: [83], 8: [86, 84, 91, 92], 9: [55, 12], 10: [81], 11: [85, 67]}",12
"{0: [84, 55, 87, 89], 1: [25, 5], 2: [2, 61, 91, 70, 92], 3: [86], 4: [80, 30, 9, 59], 5: [20, 78, 46, 10], 6: [85, 57, 24, 27], 7: [83, 90, 18], 8: [12, 6], 9: [81, 67, 22], 10: [76], 11: [52], 12: [28]}",13
"{0: [76, 5, 46, 28, 18], 1: [85, 2, 92], 2: [52, 84, 12], 3: [59], 4: [80, 6], 5: [30, 55, 22, 57, 24, 70], 6: [86, 78, 87], 7: [83, 81, 25, 20, 9], 8: [89, 10], 9: [67, 90], 10: [61], 11: [91, 27]}",12
"{0: [67, 22, 28, 27], 1: [52, 20, 86, 46, 61, 90, 18], 2: [76, 84, 78, 89, 6], 3: [25, 85, 91, 70], 4: [81], 5: [24, 59, 92], 6: [9], 7: [12, 57], 8: [80], 9: [83, 5, 30], 10: [2], 11: [87], 12: [55, 10]}",13
"{0: [85, 55], 1: [52, 76, 25, 90, 91], 2: [84, 89], 3: [83, 20, 86, 5, 10], 4: [12], 5: [78, 87, 22, 57], 6: [2, 67, 28], 7: [81, 80, 61, 6, 24, 27, 59], 8: [46], 9: [9, 92, 18], 10: [30, 70]}",11
"{0: [24, 27, 10], 1: [5, 2, 91, 9], 2: [52, 55, 28, 18], 3: [76, 20, 12, 61, 57], 4: [81, 84, 46, 89, 92], 5: [30, 90], 6: [80, 85, 86, 78], 7: [87, 67, 6], 8: [83], 9: [25, 59, 70], 10: [22]}",11
"{0: [46, 67, 90, 24, 59, 18], 1: [80, 20], 2: [83, 12, 61], 3: [81, 86], 4: [30, 89, 10], 5: [91, 9, 27], 6: [25, 85, 2, 70], 7: [84, 5, 55, 22, 28], 8: [76, 78], 9: [6, 92], 10: [52, 87, 57]}",11
"{0: [80, 6, 18, 10], 1: [57, 59, 92], 2: [85, 20, 86, 84, 2, 46, 61, 89, 27], 3: [76, 5, 30, 24], 4: [52], 5: [25, 90, 9], 6: [83, 78, 70], 7: [81, 12, 91, 28], 8: [55, 87, 67], 9: [22]}",10
"{0: [83, 52, 5, 67, 22, 28, 9, 70], 1: [78, 55, 89, 57, 10], 2: [90], 3: [85, 87, 61, 91, 59], 4: [80, 86, 30, 12, 6, 27, 18], 5: [25], 6: [2, 46, 92], 7: [81, 76], 8: [20, 84], 9: [24]}",10
"{0: [52, 28], 1: [5, 61], 2: [83, 86], 3: [81, 55, 59], 4: [78, 67, 89, 10], 5: [76, 87, 9, 70], 6: [25, 85, 12], 7: [80, 84, 24, 18], 8: [20, 90, 57, 6, 92], 9: [2, 91, 22], 10: [46], 11: [30], 12: [27]}",13
"{0: [76, 30, 27, 18], 1: [80, 20], 2: [61, 24, 59], 3: [86, 91, 89, 9], 4: [83, 52], 5: [46, 12, 28], 6: [85, 90, 22], 7: [84], 8: [55, 67], 9: [25, 57], 10: [81, 10], 11: [78, 2, 87], 12: [6, 92], 13: [5, 70]}",14
"{0: [46, 9, 24], 1: [81, 5, 12, 67, 57, 70], 2: [90, 28, 18], 3: [85, 84, 30, 27, 92], 4: [80, 76, 55, 6, 10], 5: [87], 6: [61, 22], 7: [2], 8: [83, 52, 59], 9: [20, 91], 10: [89], 11: [25, 86, 78]}",12
"{0: [67, 70], 1: [2, 90, 89, 57], 2: [81, 92, 18], 3: [20, 59], 4: [84, 91, 9], 5: [52, 27, 10], 6: [80, 25, 85, 61], 7: [5], 8: [76, 55, 22, 6], 9: [24], 10: [83, 12, 28], 11: [30], 12: [87], 13: [86], 14: [46], 15: [78]}",16
"{0: [20, 30, 87, 10], 1: [81, 22, 92], 2: [78, 91], 3: [80, 85, 2, 89], 4: [25, 55, 12, 61], 5: [52, 86, 46, 67, 24, 70], 6: [57, 6, 27], 7: [59], 8: [5, 90, 18], 9: [84, 9], 10: [83, 76, 28]}",11
"{0: [80, 90, 28, 9, 18, 10], 1: [81], 2: [52, 76, 87, 61], 3: [83, 25, 20, 84, 2, 12, 6, 24, 27], 4: [85, 86], 5: [5], 6: [78, 30, 67, 22, 57, 59], 7: [89, 92], 8: [55, 91], 9: [46], 10: [70]}",11
"{0: [76, 89, 24], 1: [30, 12, 70, 18], 2: [78, 61, 28], 3: [81, 80, 84, 2], 4: [22, 92, 10], 5: [5], 6: [85, 86, 55, 67, 90, 57], 7: [91, 9], 8: [83, 46], 9: [52, 25, 59], 10: [87], 11: [27], 12: [20, 6]}",13
"{0: [76, 90], 1: [80, 10], 2: [52, 91, 6], 3: [89, 92], 4: [83, 81, 46, 61], 5: [5, 2, 55, 67, 27], 6: [25, 30, 9, 59], 7: [85, 86, 87, 18], 8: [84, 22], 9: [78, 12, 70], 10: [28], 11: [20, 57], 12: [24]}",13
"{0: [2, 67, 22, 18], 1: [76, 6, 70, 92], 2: [81, 80, 78, 55, 87, 27], 3: [5, 46], 4: [52, 61, 89, 57], 5: [12], 6: [9], 7: [25, 20, 91], 8: [83, 86], 9: [85, 28, 10], 10: [84, 90, 24], 11: [30, 59]}",12
